Quantity,Unit Price
50,1.47
75,1.41
100,1.23
150,1.17
200,1.08
300,0.98
500,0.703
1000,0.571
2000,0.302
2500,0.256
3000,0.234
5000,0.232
6000,0.225
8000,0.219
10000,0.215
,
URL: https://www.templi.com/p/20-stem-matchbook-200-moq-digitally-printed-atlas-match?utm_source=google&utm_medium=cpc&utm_campaign=22535584483&utm_content=177978093534&utm_term=&hsa_acc=1905043347&hsa_cam=22535584483&hsa_grp=177978093534&hsa_ad=751071216429&hsa_src=g&hsa_tgt=pla-293946777986&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=22535584483&gbraid=0AAAAADHLnRzVetX10OjDBwzCErEkEtYhc&gclid=Cj0KCQjwkrzPBhCqARIsAJN460lBkdV40LzSsTjkuBHwyJJZRNAV4kSgKeAi_TRsnG2KwUkKWoVyAygaAm3eEALw_wcB,
